Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/02/2026,"SAFEWAY #1600 BELLEVUE WA                    04/01",-9.75,DEBIT_CARD,10324.59,,
DEBIT,04/01/2026,"Online Transfer to CHK ...5174 transaction#: 28661483018 04/01",-3511.00,ACCT_XFER,10334.34,,
CREDIT,04/01/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,13845.34,,
DEBIT,03/31/2026,"DK MARKET RENTON WA                          03/30",-160.78,DEBIT_CARD,10334.34,,
DEBIT,03/31/2026,"RESTAURANT DEPOT SEATTLE WA                  03/30",-48.06,DEBIT_CARD,10495.12,,
DEBIT,03/31/2026,"Amazon.com*BC69546S2 Amzn.com/bill WA        03/31",-46.95,DEBIT_CARD,10543.18,,
DEBIT,03/31/2026,"SEATTLE NORTH CE 206-934-4174 WA             03/31",-739.00,DEBIT_CARD,10590.13,,
DEBIT,03/30/2026,"SHAWARMA SHACK SEATTLE WA                    03/29",-33.11,DEBIT_CARD,11329.13,,
DEBIT,03/30/2026,"SQ *MUSLIM ASSOCIATION Seattle WA            03/29",-1.00,DEBIT_CARD,11362.24,,
DEBIT,03/30/2026,"TST* LUNE CAFE PIONEER SEATTLE WA            03/30",-6.35,DEBIT_CARD,11363.24,,
DEBIT,03/30/2026,"Online Transfer to CHK ...5174 transaction#: 28616547641 03/30",-200.00,ACCT_XFER,11369.59,,
DEBIT,03/30/2026,"LOWE'S #0004 SEATTLE WA              590756  03/28",-2.19,DEBIT_CARD,11569.59,,
DEBIT,03/30/2026,"COSTCO WHSE #0001 SEATTLE WA         138005  03/28",-117.35,DEBIT_CARD,11571.78,,
DEBIT,03/30/2026,"SAFEWAY #1993 SEATTLE WA                     03/27",-6.49,DEBIT_CARD,11689.13,,
DEBIT,03/30/2026,"SEATTLE NORTH CE 206-934-4174 WA             03/27",-35.00,DEBIT_CARD,11695.62,,
DEBIT,03/30/2026,"SAFEWAY #1993 SEATTLE WA                     03/26",-10.90,DEBIT_CARD,11730.62,,
DEBIT,03/30/2026,"Amazon.com Amzn.com/bill WA                  03/27",85.89,DEBIT_CARD,11741.52,,
DEBIT,03/27/2026,"Zelle payment to Bilal JPM99cat90l9",-20.00,CHASE_TO_PARTNERFI,11655.63,,
DEBIT,03/27/2026,"WHOLEFDS WSL 102 220 W SEATTLE WA    534254  03/27",-7.06,DEBIT_CARD,11675.63,,
CREDIT,03/27/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2824.39,ACH_CREDIT,11682.69,,
DEBIT,03/26/2026,"Amazon.com*BG4MZ19J2 Amzn.com/bill WA        03/26",-12.16,DEBIT_CARD,8858.30,,
DEBIT,03/25/2026,"Zelle payment to Harkanwal JPM99cajh21v",-800.00,CHASE_TO_PARTNERFI,8870.46,,
DEBIT,03/25/2026,"T-MOBILE         PCS SVC    9130558         WEB ID: 0000450304",-247.31,ACH_DEBIT,9670.46,,
DEBIT,03/25/2026,"SeattleAcademy   2066766894 352175377       CCD ID: 6450479415",-33.00,ACH_DEBIT,9917.77,,
DEBIT,03/24/2026,"Amazon.com*BG38O0PS2 Amzn.com/bill WA        03/23",-85.89,DEBIT_CARD,9950.77,,
DEBIT,03/23/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-614.12,ACH_DEBIT,10036.66,,
DEBIT,03/23/2026,"GOODWILL - SEATTLE. SEATTLE WA               03/22",-5.53,DEBIT_CARD,10650.78,,
DEBIT,03/23/2026,"GOODWILL - SEATTLE. SEATTLE WA               03/22",-27.58,DEBIT_CARD,10656.31,,
DEBIT,03/23/2026,"AMAZON MKTPL*BD5W032 Amzn.com/bill WA        03/23",-11.04,DEBIT_CARD,10683.89,,
DEBIT,03/23/2026,"Zelle payment to Abdulahi JPM99ca3buvj",-80.00,CHASE_TO_PARTNERFI,10694.93,,
DEBIT,03/23/2026,"CASH APP*MUBARAK MAHAMU Oakland CA           03/21",-10.00,DEBIT_CARD,10774.93,,
DEBIT,03/23/2026,"CASH APP*YUSUF MAH Oakland CA                03/21",-10.00,DEBIT_CARD,10784.93,,
DEBIT,03/23/2026,"CASH APP*ILHAM MAHAMUD Oakland CA            03/21",-10.00,DEBIT_CARD,10794.93,,
DEBIT,03/23/2026,"EAST AFRICAN IMPORTS SEATTLE WA              03/21",-2.99,DEBIT_CARD,10804.93,,
DEBIT,03/23/2026,"ARCO#82481BP ARCO AM P SEATTLE WA    999287  03/20",-6.53,DEBIT_CARD,10807.92,,
DEBIT,03/23/2026,"DAVES HOT CHICKEN 1205 SEATTLE WA            03/20",-85.06,DEBIT_CARD,10814.45,,
DEBIT,03/23/2026,"APPLE CASH SENT MONEY 877-233-8552 CA        03/21",-15.00,DEBIT_CARD,10899.51,,
DEBIT,03/23/2026,"CASH APP*HANIF MOHAMED Oakland CA            03/21",-5.00,DEBIT_CARD,10914.51,,
DEBIT,03/23/2026,"APPLE CASH SENT MONEY 877-233-8552 CA        03/21",-20.00,DEBIT_CARD,10919.51,,
DEBIT,03/23/2026,"APPLE CASH SENT MONEY 877-233-8552 CA        03/21",-4.50,DEBIT_CARD,10939.51,,
DEBIT,03/23/2026,"TST* PORTAGE BAY CAFE - SEATTLE WA           03/20",-213.99,DEBIT_CARD,10944.01,,
DEBIT,03/23/2026,"SCC ONLINE PARKING SEATTLE WA                03/20",-20.00,DEBIT_CARD,11158.00,,
DEBIT,03/23/2026,"SAFEWAY #1993 SEATTLE WA                     03/19",-63.86,DEBIT_CARD,11178.00,,
DEBIT,03/20/2026,"Zelle payment to Mustafa JPM99c9tsxn8",-134.00,CHASE_TO_PARTNERFI,11241.86,,
CREDIT,03/20/2026,"Zelle payment from CHALTU M HUSSEIN 28510173197",107.00,QUICKPAY_CREDIT,11375.86,,
DEBIT,03/19/2026,"DAVESHOTCHICKEN DAVESHOTCHICK WA             03/19",-20.98,DEBIT_CARD,11268.86,,
DEBIT,03/19/2026,"CASH APP*ANTHONY Oakland CA                  03/18",-45.00,DEBIT_CARD,11289.84,,
DEBIT,03/19/2026,"AMAZON MKTPL*B53XH78 Amzn.com/bill WA        03/18",-57.47,DEBIT_CARD,11334.84,,
DEBIT,03/18/2026,"DOLLARTREE SEATTLE WA                000932  03/18",-6.91,DEBIT_CARD,11392.31,,
DEBIT,03/17/2026,"SHARIF GROCERY AND HAL SEATTLE WA    465153  03/17",-12.97,DEBIT_CARD,11399.22,,
DEBIT,03/17/2026,"7-ELEVEN SEATTLE WA                  766370  03/16",-7.95,DEBIT_CARD,11412.19,,
DEBIT,03/17/2026,"Amazon.com*BD3UC7TR1 Amzn.com/bill WA        03/16",-139.28,DEBIT_CARD,11420.14,,
DEBIT,03/16/2026,"DOLLARTREE SEATTLE WA                006902  03/16",-78.02,DEBIT_CARD,11559.42,,
DEBIT,03/16/2026,"7-ELEVEN SEATTLE WA                  816847  03/15",-7.40,DEBIT_CARD,11637.44,,
DEBIT,03/16/2026,"MUSLIM MAP* MUSLIM A MAPSREDMOND.O WA        03/16",-50.00,DEBIT_CARD,11644.84,,
DEBIT,03/16/2026,"SAFEWAY #1062 SEATTLE WA                     03/15",-6.40,DEBIT_CARD,11694.84,,
DEBIT,03/16/2026,"CASH APP*FLOWERS HUSSEI Oakland CA           03/15",-60.00,DEBIT_CARD,11701.24,,
DEBIT,03/16/2026,"ARCO#82481BP ARCO AM P SEATTLE WA    177953  03/14",-3.64,DEBIT_CARD,11761.24,,
DEBIT,03/16/2026,"SQ *HABIBITACOS Redmond WA                   03/15",-33.10,DEBIT_CARD,11764.88,,
DEBIT,03/16/2026,"TST* QAMARIA YEMENI C 732-754-6909 WA        03/15",-10.75,DEBIT_CARD,11797.98,,
DEBIT,03/16/2026,"FOB SUSHI BAR SEATTLE WA                     03/14",-28.80,DEBIT_CARD,11808.73,,
DEBIT,03/16/2026,"SAFEWAY FUEL1508 SEATTLE WA                  03/14",-66.67,DEBIT_CARD,11837.53,,
DEBIT,03/16/2026,"WAL-MART #2516 RENTON WA             009250  03/14",-96.42,DEBIT_CARD,11904.20,,
DEBIT,03/16/2026,"GOFNDME* LEGACY OF S WWW.GOFUNDME. CA        03/13",-25.00,DEBIT_CARD,12000.62,,
DEBIT,03/16/2026,"MUSLIM MAP* MUSLIM A MAPSREDMOND.O WA        03/13",-30.00,DEBIT_CARD,12025.62,,
DEBIT,03/16/2026,"EAST AFRICAN IMPORTS SEATTLE WA              03/12",-13.23,DEBIT_CARD,12055.62,,
DEBIT,03/16/2026,"EAST AFRICAN IMPORTS SEATTLE WA              03/12",-20.06,DEBIT_CARD,12068.85,,
CREDIT,03/16/2026,"Zelle payment from Fatza Hussein 28A022AUI0YB",60.00,PARTNERFI_TO_CHASE,12088.91,,
DEBIT,03/13/2026,"Zelle payment to PERSIS JPM99c90ltqp",-120.00,CHASE_TO_PARTNERFI,12028.91,,
DEBIT,03/13/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1317.97,ACH_DEBIT,12148.91,,
DEBIT,03/13/2026,"AMAZON MKTPL*BP4PQ80 Amzn.com/bill WA        03/13",-49.68,DEBIT_CARD,13466.88,,
DEBIT,03/13/2026,"RESTAURANT DEPOT SEATTLE WA                  03/12",-177.72,DEBIT_CARD,13516.56,,
DEBIT,03/13/2026,"AMAZON MKTPL*BP2J87J Amzn.com/bill WA        03/12",-121.59,DEBIT_CARD,13694.28,,
CREDIT,03/13/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2717.41,ACH_CREDIT,13815.87,,
DEBIT,03/12/2026,"WALGREENS STORE 2400 S SEATTLE WA    143565  03/12",-2.99,DEBIT_CARD,11098.46,,
DEBIT,03/12/2026,"SQ *MUSLIM ASSOCIATION Seattle WA            03/12",-8.01,DEBIT_CARD,11101.45,,
DEBIT,03/12/2026,"SQ *MUSLIM ASSOCIATION Seattle WA            03/12",-8.01,DEBIT_CARD,11109.46,,
DEBIT,03/12/2026,"SQ *MUSLIM ASSOCIATION Seattle WA            03/12",-20.00,DEBIT_CARD,11117.47,,
DEBIT,03/11/2026,"SAFEWAY #1551 SEATTLE WA                     03/10",-24.07,DEBIT_CARD,11137.47,,
DEBIT,03/10/2026,"COSTCO WHSE #0001 SEATTLE WA         134893  03/10",-130.00,DEBIT_CARD,11161.54,,
DEBIT,03/09/2026,"VENMO            PAYMENT    1048814600221   WEB ID: 3264681992",-65.00,ACH_DEBIT,11291.54,,
DEBIT,03/09/2026,"ARCO#82481BP ARCO AM P SEATTLE WA    561900  03/09",-30.92,DEBIT_CARD,11356.54,,
DEBIT,03/09/2026,"DAVESHOTCHICKEN DAVESHOTCHICK OR             03/08",-30.00,DEBIT_CARD,11387.46,,
DEBIT,03/09/2026,"WAL-MART #3239 SPRINGFIELD OR                03/07",-28.07,DEBIT_CARD,11417.46,,
DEBIT,03/09/2026,"CASH APP*FLOWERS HUSSEI Oakland CA           03/07",-100.00,DEBIT_CARD,11445.53,,
DEBIT,03/09/2026,"DAVES HOT CHICKEN 1060 EUGENE OR             03/07",-18.24,DEBIT_CARD,11545.53,,
CREDIT,03/09/2026,"Zelle payment from Fatza Hussein 28A0222N56WP",100.00,PARTNERFI_TO_CHASE,11563.77,,
DEBIT,03/09/2026,"AMAZON MKTPLACE PMTS Amzn.com/bill WA        03/07",86.87,DEBIT_CARD,11463.77,,
DEBIT,03/05/2026,"CASH APP*FLOWERS HUSSEI Oakland CA           03/04",-200.00,DEBIT_CARD,11376.90,,
DEBIT,03/04/2026,"DOLLARTREE SEATTLE WA                058158  03/04",-29.43,DEBIT_CARD,11576.90,,
CREDIT,03/04/2026,"Zelle payment from Fatza Hussein 28A021ZJOAQZ",200.00,PARTNERFI_TO_CHASE,11606.33,,
DEBIT,03/03/2026,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,11406.33,,
DEBIT,03/03/2026,"ONLINE DOMESTIC WIRE TRANSFER VIA: WELLS FARGO NA/121000248 A/C: COLLECTION CLEARING ACCOUNT SAN FRANCISCO CA 94104 US REF: ATTN: PAYOFF DEPARTMENT/BNF/CONTRACT 1100346061/TIME/21:28 IMAD: 0303MMQFMP2L030833 TRN: 3781426062ES 03/03",-1011.13,WIRE_OUTGOING,11431.33,,
DEBIT,03/03/2026,"AMAZON MKTPL*B97G802 Amzn.com/bill WA        03/03",-22.10,DEBIT_CARD,12442.46,,
DEBIT,03/03/2026,"AMAZON MKTPL*B943Y7D Amzn.com/bill WA        03/02",-86.87,DEBIT_CARD,12464.56,,
DEBIT,03/03/2026,"ALADDIN GYRO RESTAURANT SEATTLE WA           03/01",-31.03,DEBIT_CARD,12551.43,,
CREDIT,03/03/2026,"Zelle payment from FARHIA FAKQAY 28291234321",409.00,QUICKPAY_CREDIT,12582.46,,
DEBIT,03/02/2026,"WALGREENS STORE 2400 S SEATTLE WA    473908  03/02",-45.16,DEBIT_CARD,12173.46,,
DEBIT,03/02/2026,"AMAZON MKTPL*B98E89Q Amzn.com/bill WA        03/02",-70.73,DEBIT_CARD,12218.62,,
DEBIT,03/02/2026,"BILT PAYMENT     BILTRENT   789b08d23cbf4f4 WEB ID: 9999918544",-2067.00,MISC_DEBIT,12289.35,,
DEBIT,03/02/2026,"TARGET T-2786 SEATTLE WA             060830  03/01",-195.15,DEBIT_CARD,14356.35,,
DEBIT,03/02/2026,"RESTAURANT DEPOT SEATTLE WA                  03/01",-47.16,DEBIT_CARD,14551.50,,
DEBIT,03/02/2026,"WAL-MART #2516 RENTON WA                     03/01",-166.80,DEBIT_CARD,14598.66,,
DEBIT,03/02/2026,"ROSS STORES #1319 SEATTLE WA                 02/28",-133.80,DEBIT_CARD,14765.46,,
DEBIT,03/02/2026,"DOLLARTREE SEATTLE WA                065531  02/28",-90.53,DEBIT_CARD,14899.26,,
DEBIT,03/02/2026,"CTLP*CSC SERVICEWORKS MELVILLE NY            02/27",-3.00,DEBIT_CARD,14989.79,,
CREDIT,03/02/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,14992.79,,
DEBIT,02/27/2026,"GUIDANCE RES LLC MTG PYMT   1100346061      WEB ID: 1541322890",-1641.89,ACH_DEBIT,11481.79,,
CREDIT,02/27/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2717.51,ACH_CREDIT,13123.68,,
DEBIT,02/26/2026,"Zelle payment to Nicole JPM99c7357du",-30.00,CHASE_TO_PARTNERFI,10406.17,,
DEBIT,02/26/2026,"Zelle payment to Tiffany JPM99c72bhhb",-20.00,CHASE_TO_PARTNERFI,10436.17,,
DEBIT,02/26/2026,"GUIDANCE RES LLC MTG PYMT   1100346061      WEB ID: 1541322890",-12001.69,ACH_DEBIT,10456.17,,
DEBIT,02/25/2026,"T-MOBILE         PCS SVC    9216005         WEB ID: 0000450304",-160.63,ACH_DEBIT,22457.86,,
CREDIT,02/23/2026,"Zelle payment from CHALTU M HUSSEIN 28165278114",500.00,QUICKPAY_CREDIT,22618.49,,
CREDIT,02/20/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",9026.34,ACH_CREDIT,22118.49,,
DEBIT,02/19/2026,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17KHAYRAT A",-0.03,FEE_TRANSACTION,13092.15,,
DEBIT,02/19/2026,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17Ashoor Re",-0.37,FEE_TRANSACTION,13092.18,,
DEBIT,02/19/2026,"IRS              USATAXPYMT                 PPD ID: 3387702000",-1695.00,ACH_DEBIT,13092.55,,
DEBIT,02/19/2026,"KHAYRAT ALTABIAH    KAH       201            02/17 Saudi Riyal5.00 X 0.2660000 (EXCHG RTE)",-1.33,DEBIT_CARD,14787.55,,
DEBIT,02/19/2026,"Ashoor Restaurant MAKKAH                     02/17 Saudi Riyal47.00 X 0.2665957 (EXCHG RTE)",-12.53,DEBIT_CARD,14788.88,,
DEBIT,02/18/2026,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         02/17MC DONALD",-1.16,FEE_TRANSACTION,14801.41,,
DEBIT,02/18/2026,"MC DONALDS-ISTANBUL FLA ISTANBUL             02/17 TR Lira    1691.00 X 0.02296866 (EXCHG RTE)",-38.84,DEBIT_CARD,14802.57,,
DEBIT,02/17/2026,"NV ENERGY SOUTH  NPC PYMT   040810152476765 WEB ID: 1880045330",-272.60,ACH_DEBIT,14841.41,,
DEBIT,02/17/2026,"CTLP*CSC SERVICEWORKS MELVILLE NY            02/15",-3.00,DEBIT_CARD,15114.01,,
DEBIT,02/17/2026,"SAFEWAY #1508 SEATTLE WA                     02/15",-5.39,DEBIT_CARD,15117.01,,
DEBIT,02/17/2026,"DOLLARTREE SEATTLE WA                061204  02/15",-12.05,DEBIT_CARD,15122.40,,
DEBIT,02/17/2026,"SAFEWAY #1508 SEATTLE WA                     02/14",-19.71,DEBIT_CARD,15134.45,,
DEBIT,02/17/2026,"PY *JUBA TUKWILA WA                          02/15",-4.41,DEBIT_CARD,15154.16,,
DEBIT,02/17/2026,"Zelle payment to Juba Ihram JPM99c5r2jqq",-35.00,CHASE_TO_PARTNERFI,15158.57,,
DEBIT,02/17/2026,"CASH APP*FLOWERS HUSSEI Oakland CA           02/14",-50.00,DEBIT_CARD,15193.57,,
DEBIT,02/17/2026,"SQ *MOLLY MOON'S COLUMB Seattle WA           02/13",-14.04,DEBIT_CARD,15243.57,,
DEBIT,02/17/2026,"JACK IN THE BOX 8409 425-485-7364 WA         02/14",-9.25,DEBIT_CARD,15257.61,,
CREDIT,02/17/2026,"Zelle payment from Fatza Hussein 28A021H20P4Q",50.00,PARTNERFI_TO_CHASE,15266.86,,
DEBIT,02/13/2026,"WAL-MART #2516 RENTON WA             040987  02/13",-69.99,DEBIT_CARD,15216.86,,
DEBIT,02/13/2026,"WITHDRAWAL 02/13",-2000.00,MISC_DEBIT,15286.85,,
DEBIT,02/13/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-627.67,ACH_DEBIT,17286.85,,
DEBIT,02/13/2026,"TST*THE SALMON COOKER Seattle WA             02/12",-18.35,DEBIT_CARD,17914.52,,
DEBIT,02/13/2026,"TST* MENDOCINO FARMS - SEATTLE WA            02/13",-16.28,DEBIT_CARD,17932.87,,
CREDIT,02/13/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2717.50,ACH_CREDIT,17949.15,,
DEBIT,02/10/2026,"YSI*Jackson Apartments 206-3221139 WA        02/10",-503.95,DEBIT_CARD,15231.65,,
DEBIT,02/10/2026,"YSI*Jackson Apartments 206-3221139 WA        02/10",-63.95,DEBIT_CARD,15735.60,,
DEBIT,02/10/2026,"SQ *SAHARACAFE Tukwila WA                    02/09",-45.14,DEBIT_CARD,15799.55,,
DEBIT,02/09/2026,"SAFEWAY #1508 SEATTLE WA                     02/08",-16.11,DEBIT_CARD,15844.69,,
DEBIT,02/09/2026,"ORCA 8889886722 WA                           02/07",-6.00,DEBIT_CARD,15860.80,,
DEBIT,02/09/2026,"HUDSON ST1374 LAS VEGAS NV                   02/07",-5.29,DEBIT_CARD,15866.80,,
DEBIT,02/09/2026,"YOGURTLAND LAS VEGAS - 626-5600264 NV        02/06",-8.81,DEBIT_CARD,15872.09,,
DEBIT,02/09/2026,"NV0401 LUV CAR WASH LAS VEGAS NV             02/06",-10.00,DEBIT_CARD,15880.90,,
DEBIT,02/09/2026,"THEMASJIDAPP.NET 194-92372903 NV             02/06",-20.00,DEBIT_CARD,15890.90,,
DSLIP,02/09/2026,"REMOTE ONLINE DEPOSIT #          1",38.23,CHECK_DEPOSIT,15910.90,1,
DEBIT,02/05/2026,"SPEEDEE MART 115 LAS VEGAS NV        098595  02/05",-7.67,DEBIT_CARD,15872.67,,
DEBIT,02/05/2026,"Zelle payment to Vlad JPM99c4kjvp7",-700.00,CHASE_TO_PARTNERFI,15880.34,,
DEBIT,02/05/2026,"CLARK CO PARKS AND REC 7024558132 NV         02/04",-2.00,DEBIT_CARD,16580.34,,
DEBIT,02/03/2026,"Zelle payment to Jeremy JPM99c4bghvy",-200.00,CHASE_TO_PARTNERFI,16582.34,,
DEBIT,02/03/2026,"Shade            WEB PMTS   8QPZ33          WEB ID: 9084434801",-1197.00,ACH_DEBIT,16782.34,,
DEBIT,02/03/2026,"CLARK CO PARKS AND REC 7024558132 NV         02/02",-2.00,DEBIT_CARD,17979.34,,
DEBIT,02/02/2026,"WM SUPERCENTER #2483 LAS VEGAS NV    063124  02/02",-37.17,DEBIT_CARD,17981.34,,
DEBIT,02/02/2026,"SPEEDEE MART 115 LAS VEGAS NV        072539  02/01",-5.68,DEBIT_CARD,18018.51,,
DEBIT,02/02/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  385405  01/31",-8.67,DEBIT_CARD,18024.19,,
DEBIT,02/02/2026,"PXP OPERATIONS (PIZZA) LAS VEGAS NV          01/31",-18.28,DEBIT_CARD,18032.86,,
DEBIT,02/02/2026,"FlyOver Las Vegas, LLC Denver CO             02/01",-62.40,DEBIT_CARD,18051.14,,
DEBIT,02/02/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  681772  01/31",-15.98,DEBIT_CARD,18113.54,,
DEBIT,02/02/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/31",-2.00,DEBIT_CARD,18129.52,,
DEBIT,02/02/2026,"GUIDANCE RES LLC MTG PYMT                   PPD ID: 1541322890",-1563.35,ACH_DEBIT,18131.52,,
DEBIT,02/02/2026,"IN-N-OUTLV-BLUEDIAMOND LAS VEGAS NV          01/30",-11.27,DEBIT_CARD,19694.87,,
DEBIT,02/02/2026,"THEMASJIDAPP.NET 194-92372903 NV             01/31",-10.36,DEBIT_CARD,19706.14,,
DEBIT,02/02/2026,"85C BAKERY CAFE-ENTERPR LAS VEGAS NV         01/30",-4.00,DEBIT_CARD,19716.50,,
DEBIT,02/02/2026,"ALBERTSONS #0332 LAS VEGAS NV                01/30",-9.49,DEBIT_CARD,19720.50,,
DEBIT,02/02/2026,"CIRCLE K # 09555 LAS VEGAS NV                01/29",-5.98,DEBIT_CARD,19729.99,,
CREDIT,02/02/2026,"Zelle payment from FATIMA LOPEZ WFCT0ZRJCC3Y",30.00,PARTNERFI_TO_CHASE,19735.97,,
CREDIT,02/02/2026,"Zelle payment from DOMINADOR ILANO WFCT0ZRHNVZ6",150.00,PARTNERFI_TO_CHASE,19705.97,,
CREDIT,02/02/2026,"Zelle payment from FARHIA FAKQAY 27927105752",409.00,QUICKPAY_CREDIT,19555.97,,
CREDIT,02/02/2026,"KCHA SECTION 8   CONS PAY                   PPD ID: 9112331001",3511.00,ACH_CREDIT,19146.97,,
DEBIT,01/30/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  713043  01/30",-3.29,DEBIT_CARD,15635.97,,
DEBIT,01/30/2026,"SPEEDEE MART 115 LAS VEGAS NV        429452  01/29",-5.68,DEBIT_CARD,15639.26,,
DEBIT,01/30/2026,"DAIRY QUEEN #15435 LAS VEGAS NV              01/29",-7.90,DEBIT_CARD,15644.94,,
CREDIT,01/30/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2717.49,ACH_CREDIT,15652.84,,
DEBIT,01/29/2026,"CIRCLE K # 09555 LAS VEGAS NV        438717  01/29",-33.82,DEBIT_CARD,12935.35,,
DEBIT,01/29/2026,"KRISPY KREME #4070 LAS VEGAS NV              01/28",-2.37,DEBIT_CARD,12969.17,,
DEBIT,01/29/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/28",-2.00,DEBIT_CARD,12971.54,,
DEBIT,01/28/2026,"CELLULAR DEPOT USA LAS VEGAS NV              01/26",-162.60,DEBIT_CARD,12973.54,,
DEBIT,01/27/2026,"THE UPS STORE 5933 702-4072800 NV            01/26",-22.13,DEBIT_CARD,13136.14,,
DEBIT,01/27/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/26",-2.00,DEBIT_CARD,13158.27,,
DEBIT,01/26/2026,"T-MOBILE         PCS SVC    9039037         WEB ID: 0000450304",-166.10,ACH_DEBIT,13160.27,,
DEBIT,01/26/2026,"CIRCLE K # 09555 LAS VEGAS NV        222830  01/25",-43.86,DEBIT_CARD,13326.37,,
DEBIT,01/26/2026,"WAL-MART #2483 LAS VEGAS NV                  01/25",-36.57,DEBIT_CARD,13370.23,,
DEBIT,01/26/2026,"ARCO 910405 BARSTOW CA               784985  01/24",-6.35,DEBIT_CARD,13406.80,,
DEBIT,01/26/2026,"ARCO 910405 BARSTOW CA               182459  01/24",-54.50,DEBIT_CARD,13413.15,,
DEBIT,01/26/2026,"PAPI TACOS & CHURROS 323-5369800 CA          01/24",-40.56,DEBIT_CARD,13467.65,,
DEBIT,01/26/2026,"VOODOO DOUGHNUTS UNIVERSAL CIT CA            01/24",-6.04,DEBIT_CARD,13508.21,,
DEBIT,01/26/2026,"JURASSIC COVE UNIVERSAL CIT CA       492962  01/24",-24.13,DEBIT_CARD,13514.25,,
DEBIT,01/26/2026,"USH PARKING RC UNIVERSAL CIT CA              01/24",-40.00,DEBIT_CARD,13538.38,,
DEBIT,01/26/2026,"PANERA BREAD #601785 P BARSTOW CA            01/24",-15.58,DEBIT_CARD,13578.38,,
DEBIT,01/26/2026,"AMAZON MKTPLACE PMTS Amzn.com/bill WA        01/26",32.50,DEBIT_CARD,13593.96,,
DEBIT,01/23/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3594.33,ACH_DEBIT,13561.46,,
DEBIT,01/23/2026,"CIRCLE K # 09555 LAS VEGAS NV                01/22",-0.50,DEBIT_CARD,17155.79,,
DEBIT,01/22/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  764578  01/21",-9.08,DEBIT_CARD,17156.29,,
DEBIT,01/22/2026,"CIRCLE K # 09555 LAS VEGAS NV        188858  01/22",-32.06,DEBIT_CARD,17165.37,,
DEBIT,01/22/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/21",-2.00,DEBIT_CARD,17197.43,,
CREDIT,01/22/2026,"Zelle payment from NAZIRA MAHAMUD WFCT0ZQHLGRQ",150.00,PARTNERFI_TO_CHASE,17199.43,,
CREDIT,01/22/2026,"Zelle payment from NAZIRA MAHAMUD WFCT0ZQHG6SG",1000.00,PARTNERFI_TO_CHASE,17049.43,,
DEBIT,01/20/2026,"ATM WITHDRAWAL                       003260  01/206920 ARRO",-20.00,ATM,16049.43,,
DEBIT,01/20/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  969069  01/19",-27.82,DEBIT_CARD,16069.43,,
DEBIT,01/20/2026,"SMITHS FOOD #436 10600 LAS VEGAS NV  649901  01/19",-8.88,DEBIT_CARD,16097.25,,
DEBIT,01/20/2026,"SUSHI NEKO LAS VEGAS NV                      01/18",-14.55,DEBIT_CARD,16106.13,,
DEBIT,01/20/2026,"7-ELEVEN LAS VEGAS NV                760191  01/18",-4.68,DEBIT_CARD,16120.68,,
DEBIT,01/20/2026,"SQ *PHIN SMITH COFFEE H Las Vegas NV         01/18",-7.32,DEBIT_CARD,16125.36,,
DEBIT,01/20/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/17",-2.00,DEBIT_CARD,16132.68,,
DEBIT,01/20/2026,"CHICK-FIL-A #03930 LAS VEGAS NV              01/16",-0.42,DEBIT_CARD,16134.68,,
DEBIT,01/20/2026,"THEMASJIDAPP.NET 194-92372903 NV             01/16",-10.00,DEBIT_CARD,16135.10,,
CREDIT,01/16/2026,"BROOKS SPORTS IN PAYROLL                    PPD ID: 9111111101",2717.50,ACH_CREDIT,16145.10,,
DEBIT,01/15/2026,"CLARK CO PARKS AND REC 7024558132 NV         01/14",-2.00,DEBIT_CARD,13427.60,,
